nama,total_aset,penghasilan_bulanan,pengeluaran_bulanan,total_hutang,bunga_hutang,Estimasi Lunas dalam Bulan,Estimasi Lunas dalam Tahun,Total Hutang Setelah menjual asset,Estimasi Lunas dalam Bulan setelah menjual setengah asset,Estimasi Lunas dalam Tahun setelah menjual setengah asset
Diana Hamilton,"Rp489,836,949","Rp39,905,710","Rp19,686,927","Rp120,014,066",2.96,5.85,0.5,0,0.0,0.0
Colleen Hernandez,"Rp461,140,444","Rp27,755,666","Rp27,755,666","Rp144,106,812",10.4,115.38,9.6,0,0.0,0.0
Donald Taylor,"Rp201,555,830","Rp8,703,394","Rp8,703,394","Rp27,826,747",9.69,123.84,10.3,0,0.0,0.0
Kelly Cook,"Rp214,939,202","Rp22,545,578","Rp22,545,578","Rp221,850,257",11.39,105.36,8.8,114380656,52.7,4.4
Michael Roberts,"Rp293,627,673","Rp14,415,376","Rp8,314,768","Rp330,657,813",3.38,47.02,3.9,183843977,13.9,1.2
Melissa Thompson,"Rp465,149,199","Rp12,068,026","Rp12,068,026","Rp302,973,496",3.73,321.72,26.8,70398897,160.9,13.4
James Gomez,"Rp154,510,386","Rp16,283,692","Rp10,815,995","Rp187,627,991",13.47,24.77,2.1,110372798,8.2,0.7
Ryan Hawkins,"Rp43,698,788","Rp29,280,417","Rp29,280,417","Rp376,280,658",11.5,104.35,8.7,354431264,52.2,4.3
Robert Anderson,"Rp71,819,576","Rp25,708,377","Rp10,064,220","Rp332,757,988",13.72,17.11,1.4,296848200,7.8,0.6
Joel Hayes,"Rp404,620,188","Rp26,567,809","Rp20,321,829","Rp91,490,964",11.62,12.83,1.1,0,0.0,0.0
Michelle Taylor,"Rp404,274,011","Rp5,721,864","Rp5,721,864","Rp103,716,167",9.36,128.21,10.7,0,0.0,0.0
Kayla Bowers,"Rp207,579,844","Rp36,458,471","Rp25,912,113","Rp174,477,403",10.16,14.51,1.2,70687481,3.2,0.3
Melissa Chase,"Rp414,401,198","Rp43,539,152","Rp26,525,886","Rp373,872,036",13.45,17.63,1.5,166671437,4.4,0.4
Shawn Smith,"Rp184,928,880","Rp31,104,320","Rp31,104,320","Rp189,789,155",9.1,131.87,11.0,97324715,65.9,5.5
Samantha Stevens MD,"Rp273,768,157","Rp10,733,308","Rp10,733,308","Rp142,193,333",9.85,121.83,10.2,5309255,60.9,5.1
Amy Randolph,"Rp462,949,741","Rp6,875,754","Rp6,875,754","Rp36,664,126",3.19,376.18,31.3,0,0.0,0.0
Karen Turner,"Rp458,869,309","Rp22,482,215","Rp22,482,215","Rp387,375,999",7.63,157.27,13.1,157941345,78.6,6.6
Kevin Wallace,"Rp347,832,947","Rp31,160,024","Rp23,526,982","Rp152,981,428",11.03,16.92,1.4,0,0.0,0.0
Felicia Sanford,"Rp226,166,852","Rp31,356,738","Rp17,805,013","Rp148,394,476",4.79,10.49,0.9,35311050,1.3,0.1
Autumn Hines,"Rp435,948,363","Rp13,912,996","Rp13,912,996","Rp363,485,550",3.83,313.32,26.1,145511369,156.7,13.1
John Washington,"Rp83,706,383","Rp13,047,595","Rp13,047,595","Rp168,129,589",5.39,222.63,18.6,126276398,111.3,9.3
Mary Sanchez,"Rp430,194,521","Rp33,908,587","Rp17,321,333","Rp29,276,628",4.38,1.75,0.1,0,0.0,0.0
Patrick Knox,"Rp67,399,769","Rp31,003,805","Rp31,003,805","Rp178,988,234",4.01,299.25,24.9,145288350,149.6,12.5
Brittany Howard,"Rp254,439,380","Rp25,564,965","Rp25,564,965","Rp216,838,438",6.95,172.66,14.4,89618748,86.3,7.2
Amber Peters,"Rp432,933,030","Rp43,131,083","Rp19,279,636","Rp252,995,908",13.71,9.46,0.8,36529393,0.8,0.1
Donald Bennett,"Rp423,623,907","Rp9,867,218","Rp9,867,218","Rp194,883,344",8.1,148.15,12.3,0,0.0,0.0
Antonio Bradshaw,"Rp217,025,440","Rp12,004,644","Rp11,426,807","Rp244,469,751",3.63,185.58,15.5,135957031,68.7,5.7
James Brown,"Rp395,146,109","Rp48,334,458","Rp19,438,118","Rp115,670,867",2.08,3.98,0.3,0,0.0,0.0
Dennis Williams,"Rp262,765,917","Rp41,542,128","Rp41,542,128","Rp399,201,000",10.75,111.63,9.3,267818042,55.8,4.7
Stacy Roach,"Rp116,402,148","Rp40,639,184","Rp28,535,897","Rp13,978,989",6.36,1.15,0.1,0,0.0,0.0
Audrey Watson,"Rp110,952,086","Rp16,143,608","Rp16,143,608","Rp153,009,977",12.51,95.92,8.0,97533934,48.0,4.0
Theresa Leonard,"Rp216,411,513","Rp39,532,022","Rp20,463,212","Rp301,533,515",10.23,13.93,1.2,193327759,4.7,0.4
Kaitlin Wright,"Rp328,453,493","Rp27,376,816","Rp27,376,816","Rp107,202,896",12.15,98.77,8.2,0,0.0,0.0
Wayne West,"Rp53,351,876","Rp39,851,723","Rp22,023,633","Rp323,309,234",4.81,16.91,1.4,296633296,7.8,0.6
Crystal Hood,"Rp60,166,883","Rp48,745,469","Rp11,091,044","Rp381,563,858",10.69,9.29,0.8,351480417,4.3,0.4
Lauren Cunningham,"Rp204,579,233","Rp24,671,503","Rp24,671,503","Rp60,415,449",4.7,255.32,21.3,0,0.0,0.0
Paul Hayes,"Rp56,787,763","Rp39,045,138","Rp16,942,371","Rp24,847,987",14.15,1.11,0.1,0,0.0,0.0
Jennifer Vasquez,"Rp75,732,489","Rp44,601,684","Rp3,551,330","Rp386,099,006",9.91,8.73,0.7,348232762,4.0,0.3
Danielle Nguyen,"Rp13,693,305","Rp41,808,656","Rp2,971,248","Rp230,260,214",5.54,5.77,0.5,223413562,2.8,0.2
Linda Weaver,"Rp260,982,034","Rp13,880,726","Rp6,657,851","Rp6,416,953",4.77,0.89,0.1,0,0.0,0.0
Jessica Reyes,"Rp23,470,137","Rp25,992,356","Rp25,472,522","Rp158,689,189",3.67,157.87,13.2,146954121,75.8,6.3
Morgan Everett,"Rp14,466,271","Rp23,515,189","Rp7,378,750","Rp101,396,874",10.72,5.95,0.5,94163739,2.8,0.2
James Murphy,"Rp467,370,368","Rp26,388,869","Rp4,607,411","Rp340,965,600",4.06,14.87,1.2,107280416,2.4,0.2
John Villarreal,"Rp179,124,855","Rp24,689,432","Rp3,693,439","Rp274,344,701",9.33,11.86,1.0,184782274,4.1,0.3
Kathleen Brown,"Rp154,713,028","Rp28,941,259","Rp20,608,310","Rp55,672,855",4.7,6.51,0.5,0,0.0,0.0
Michelle Smith,"Rp263,247,468","Rp13,563,214","Rp13,563,214","Rp289,428,694",10.27,116.85,9.7,157804960,58.4,4.9
Ian Kennedy,"Rp172,927,107","Rp27,374,842","Rp18,604,953","Rp54,566,094",12.41,5.85,0.5,0,0.0,0.0
William Taylor,"Rp313,090,455","Rp17,143,385","Rp11,447,933","Rp53,427,722",11.89,8.58,0.7,0,0.0,0.0
John Nguyen,"Rp305,887,183","Rp23,275,688","Rp23,275,688","Rp192,839,167",11.65,103.00,8.6,39895576,51.5,4.3
Jennifer Green,"Rp84,815,222","Rp31,172,140","Rp24,700,577","Rp336,910,897",3.63,44.98,3.7,294503286,20.0,1.7
John Meyer,"Rp307,433,345","Rp38,119,150","Rp38,119,150","Rp88,548,084",2.24,535.71,44.6,0,0.0,0.0
Ryan Warren,"Rp123,865,200","Rp13,523,401","Rp13,523,401","Rp352,803,354",10.79,111.21,9.3,290870754,55.6,4.6
David Gilbert,"Rp378,403,327","Rp46,545,615","Rp33,216,359","Rp144,948,113",6.16,10.30,0.9,0,0.0,0.0
Shelley Larson,"Rp58,978,079","Rp17,488,262","Rp5,815,144","Rp299,015,579",7.05,22.27,1.9,269526540,10.2,0.8
Mrs. Michelle Elliott MD,"Rp290,161,754","Rp40,367,702","Rp22,213,468","Rp337,941,234",1.44,18.21,1.5,192860357,5.2,0.4
Christina Davis,"Rp228,825,555","Rp41,360,857","Rp18,541,107","Rp67,396,414",4.63,2.92,0.2,0,0.0,0.0
Adrian Chen,"Rp334,159,127","Rp26,387,092","Rp2,817,052","Rp397,589,038",1.47,16.53,1.4,230509475,4.8,0.4
Angela Ellis,"Rp234,061,323","Rp22,156,053","Rp22,156,053","Rp320,804,419",13.31,90.16,7.5,203773758,45.1,3.8
Rachel Wright,"Rp66,564,401","Rp42,678,201","Rp9,596,585","Rp248,049,350",4.41,7.30,0.6,214767150,3.2,0.3
Lisa Reeves DVM,"Rp325,109,026","Rp4,524,102","Rp4,524,102","Rp353,094,828",8.8,136.36,11.4,190540315,68.2,5.7
Christopher Lutz,"Rp88,547,323","Rp14,579,149","Rp14,579,149","Rp329,160,559",1.55,774.19,64.5,284886898,387.1,32.3
Joyce Bowers,"Rp25,033,888","Rp45,607,220","Rp8,269,324","Rp260,428,423",10.34,6.58,0.5,247911479,3.1,0.3
April Berry,"Rp367,568,416","Rp5,035,848","Rp5,035,848","Rp18,605,804",5.52,217.39,18.1,0,0.0,0.0
Jennifer Wright,"Rp272,869,948","Rp24,900,146","Rp11,490,536","Rp280,521,360",13.57,16.92,1.4,144086386,4.8,0.4
Beth Curry,"Rp205,922,610","Rp13,828,463","Rp13,828,463","Rp70,276,240",13.43,89.35,7.4,0,0.0,0.0
David Cox,"Rp313,394,218","Rp28,370,439","Rp26,281,104","Rp213,026,336",5.55,69.29,5.8,56329227,12.0,1.0
Paul Jordan,"Rp295,464,164","Rp12,913,841","Rp12,488,951","Rp82,696,863",13.61,60.68,5.1,0,0.0,0.0
Nancy Adams,"Rp14,035,851","Rp32,061,846","Rp14,485,000","Rp273,253,330",14.95,13.02,1.1,266235405,6.4,0.5
Matthew Young,"Rp57,685,442","Rp26,468,625","Rp24,897,064","Rp270,854,526",12.56,61.47,5.1,242011805,29.5,2.5
Daniel Love,"Rp312,480,960","Rp48,911,262","Rp4,726,016","Rp41,355,877",12.83,0.93,0.1,0,0.0,0.0
Amy Wright,"Rp380,185,632","Rp14,457,501","Rp2,442,939","Rp30,974,082",4.49,2.55,0.2,0,0.0,0.0
Michael Stevenson,"Rp123,751,207","Rp37,392,435","Rp22,060,188","Rp319,902,970",9.07,18.02,1.5,258027367,7.5,0.6
Olivia Johnson,"Rp140,355,017","Rp6,433,382","Rp6,433,382","Rp137,242,244",1.94,618.56,51.5,67064736,309.3,25.8
Nancy Adams,"Rp360,831,658","Rp11,670,178","Rp11,670,178","Rp49,807,180",2.33,515.02,42.9,0,0.0,0.0
Lisa Bell,"Rp314,045,611","Rp31,348,817","Rp15,135,871","Rp11,839,789",14.98,0.72,0.1,0,0.0,0.0
Sarah Reynolds,"Rp112,912,284","Rp32,246,906","Rp32,246,906","Rp225,686,622",5.57,215.44,18.0,169230480,107.7,9.0
Lindsay Farmer,"Rp307,904,524","Rp6,395,049","Rp6,395,049","Rp87,102,991",11.47,104.62,8.7,0,0.0,0.0
Renee Martinez,"Rp394,782,347","Rp19,843,366","Rp19,843,366","Rp59,101,105",12.29,97.64,8.1,0,0.0,0.0
Kevin Wiggins,"Rp442,838,238","Rp27,728,848","Rp27,728,848","Rp238,033,749",13.01,92.24,7.7,16614630,46.1,3.8
Michelle Davis,"Rp19,702,701","Rp43,984,077","Rp21,578,958","Rp274,389,148",14.97,10.62,0.9,264537798,5.1,0.4
Julie Mcdowell,"Rp88,262,145","Rp13,822,814","Rp13,822,814","Rp136,208,917",4.38,273.97,22.8,92077845,137.0,11.4
Clinton Spencer,"Rp177,345,404","Rp25,858,903","Rp13,952,983","Rp295,049,589",1.56,24.01,2.0,206376887,8.5,0.7
Jennifer Perez,"Rp415,629,426","Rp45,942,594","Rp34,038,060","Rp121,935,561",6.76,9.68,0.8,0,0.0,0.0
Adam Shaffer DDS,"Rp259,137,186","Rp40,747,492","Rp40,747,492","Rp45,523,561",2.82,425.53,35.5,0,0.0,0.0
Austin Taylor,"Rp381,747,542","Rp18,170,521","Rp15,137,311","Rp37,401,727",1.31,12.17,1.0,0,0.0,0.0
Dylan Sanchez,"Rp315,752,912","Rp28,841,846","Rp18,751,531","Rp217,152,445",6.05,19.41,1.6,59275989,2.9,0.2
Marilyn Martin,"Rp141,952,729","Rp15,267,883","Rp15,267,883","Rp88,624,212",11.97,100.25,8.4,17647848,50.1,4.2
Lindsey Avila,"Rp306,248,071","Rp45,639,398","Rp37,874,916","Rp304,779,275",8.93,30.38,2.5,151655240,8.5,0.7
Kevin Wilson,"Rp54,653,148","Rp14,984,398","Rp6,105,223","Rp238,806,017",5.38,24.00,2.0,211479443,10.8,0.9
Jose Flores,"Rp417,486,361","Rp33,502,775","Rp31,084,871","Rp363,231,720",10.16,66.12,5.5,154488540,20.7,1.7
Christine Carter,"Rp253,153,865","Rp38,396,080","Rp30,634,616","Rp128,522,711",4.25,15.64,1.3,1945779,0.1,0.0
Mary Yang,"Rp109,952,217","Rp33,715,395","Rp13,963,776","Rp373,100,023",1.2,18.54,1.5,318123915,7.9,0.7
Autumn Klein,"Rp399,229,565","Rp43,686,940","Rp43,164,396","Rp127,742,045",11.7,72.25,6.0,0,0.0,0.0
Nathaniel Lam,"Rp286,890,017","Rp26,215,061","Rp24,572,466","Rp359,111,544",9.73,78.85,6.6,215666536,31.8,2.6
Angela Cobb,"Rp55,932,658","Rp29,854,296","Rp29,854,296","Rp191,375,901",11.67,102.83,8.6,163409572,51.4,4.3
Madeline Jones,"Rp146,815,208","Rp17,949,772","Rp17,949,772","Rp43,067,502",1.55,774.19,64.5,0,0.0,0.0
Amanda Gates,"Rp301,586,873","Rp6,828,433","Rp6,828,433","Rp329,918,641",12.72,94.34,7.9,179125205,47.2,3.9
William Valentine,"Rp318,108,788","Rp22,512,480","Rp22,512,480","Rp227,570,759",9.67,124.10,10.3,68516365,62.0,5.2
Suzanne King,"Rp432,352,497","Rp24,225,964","Rp15,457,684","Rp342,023,088",8.89,30.26,2.5,125846840,6.5,0.5
Harold Mason,"Rp26,934,380","Rp30,866,537","Rp30,866,537","Rp390,740,263",9.74,123.20,10.3,377273073,61.6,5.1
Eric Evans,"Rp274,776,778","Rp10,152,747","Rp10,152,747","Rp196,638,854",13.1,91.60,7.6,59250465,45.8,3.8
Rebecca Robles,"Rp20,617,244","Rp40,691,702","Rp32,981,347","Rp14,953,821",9.22,1.91,0.2,4645199,0.3,0.0
Tina Brown,"Rp178,303,991","Rp40,872,354","Rp27,568,906","Rp66,483,654",9.13,4.81,0.4,0,0.0,0.0
Brandi James,"Rp482,751,523","Rp49,058,665","Rp10,589,747","Rp194,674,050",14.87,4.76,0.4,0,0.0,0.0
Lauren Sanchez,"Rp194,451,800","Rp28,625,121","Rp28,625,121","Rp399,202,403",11.59,103.54,8.6,301976503,51.8,4.3
Meredith Benjamin,"Rp239,698,836","Rp27,242,589","Rp22,681,938","Rp366,398,296",7.19,54.23,4.5,246548878,20.4,1.7
Kristina Deleon,"Rp407,630,460","Rp4,020,154","Rp4,020,154","Rp38,957,412",10.9,110.09,9.2,0,0.0,0.0
Nathan Jones,"Rp147,587,448","Rp41,499,601","Rp13,135,474","Rp301,479,630",6.45,10.05,0.8,227685906,3.8,0.3
Chad Jackson,"Rp216,037,667","Rp9,733,215","Rp9,733,215","Rp81,666,404",4.2,285.71,23.8,0,0.0,0.0
Rebecca Chang,"Rp235,226,121","Rp49,020,191","Rp27,258,425","Rp29,334,476",9.36,1.33,0.1,0,0.0,0.0
Donna Barrett,"Rp218,181,092","Rp11,195,810","Rp11,195,810","Rp19,722,791",13.99,85.78,7.1,0,0.0,0.0
Jonathan Gonzalez,"Rp12,640,328","Rp35,339,834","Rp13,772,676","Rp271,678,919",14.01,10.98,0.9,265358755,5.4,0.4
Kristina Walsh,"Rp304,292,375","Rp43,739,629","Rp19,406,301","Rp86,272,708",5.79,3.49,0.3,0,0.0,0.0
Erin Guzman,"Rp254,103,359","Rp32,900,787","Rp12,348,533","Rp313,922,555",8.39,13.80,1.2,186870876,4.3,0.4
Ronald Olson,"Rp336,093,538","Rp27,948,764","Rp27,948,764","Rp149,055,423",3.96,303.03,25.3,0,0.0,0.0
Rita Suarez,"Rp468,048,610","Rp9,714,301","Rp9,714,301","Rp259,189,768",14.94,80.32,6.7,25165463,40.2,3.3
Gary Dixon,"Rp171,566,703","Rp47,746,736","Rp24,849,061","Rp74,217,406",14.74,3.12,0.3,0,0.0,0.0
Michelle Davis,"Rp21,552,291","Rp30,259,197","Rp21,295,854","Rp45,476,928",10.09,4.87,0.4,34700783,1.9,0.2
John Burke,"Rp10,070,640","Rp13,760,888","Rp13,760,888","Rp327,269,730",12.26,97.88,8.2,322234410,48.9,4.1
Brian Shea,"Rp123,442,790","Rp14,305,231","Rp14,305,231","Rp385,554,343",11.01,108.99,9.1,323832948,54.5,4.5
Patrick Holland,"Rp355,933,919","Rp29,035,947","Rp7,303,943","Rp108,509,526",9.3,4.81,0.4,0,0.0,0.0
Justin Williams,"Rp399,998,231","Rp35,909,688","Rp17,453,951","Rp338,501,357",1.75,17.86,1.5,138502242,3.7,0.3
Katrina Williams,"Rp249,475,901","Rp14,374,857","Rp14,374,857","Rp135,285,517",7.37,162.82,13.6,10547567,81.4,6.8
Theresa Farley,"Rp275,715,423","Rp38,414,014","Rp33,099,208","Rp144,771,263",10.45,22.02,1.8,6913552,0.6,0.1
Lisa Johnson,"Rp475,629,220","Rp32,610,323","Rp31,805,505","Rp273,033,283",10.49,85.55,7.1,35218673,15.8,1.3
Sharon Fuller,"Rp497,894,795","Rp16,775,236","Rp13,004,849","Rp142,896,349",6.22,31.68,2.6,0,0.0,0.0
Catherine Hernandez,"Rp241,902,576","Rp21,907,101","Rp21,907,101","Rp110,220,062",14.18,84.63,7.1,0,0.0,0.0
Michelle Herman,"Rp245,556,534","Rp17,372,528","Rp17,372,528","Rp288,510,117",3.34,359.28,29.9,165731850,179.6,15.0
Megan Myers,"Rp13,741,196","Rp7,720,642","Rp7,720,642","Rp246,108,042",8.01,149.81,12.5,239237444,74.9,6.2
Samantha White,"Rp29,511,512","Rp49,695,565","Rp31,009,512","Rp216,013,191",10.67,10.48,0.9,201257435,4.9,0.4
Suzanne Bell,"Rp496,345,570","Rp3,549,239","Rp3,549,239","Rp35,450,573",10.76,111.52,9.3,0,0.0,0.0
Tamara Brady,"Rp452,913,640","Rp28,722,525","Rp28,722,525","Rp255,118,331",10.08,119.05,9.9,28661511,59.5,5.0
John Reyes,"Rp21,720,477","Rp41,963,185","Rp41,963,185","Rp335,887,116",4.85,247.42,20.6,325026878,123.7,10.3
Sarah Clements,"Rp128,338,832","Rp49,571,160","Rp24,289,150","Rp317,192,684",3.19,12.14,1.0,253023268,4.9,0.4
Ashley Vega,"Rp157,435,376","Rp12,659,072","Rp12,659,072","Rp317,485,855",9.9,121.21,10.1,238768167,60.6,5.1
Christine Jones,"Rp32,558,781","Rp20,562,548","Rp9,899,284","Rp315,596,897",9.39,24.03,2.0,299317507,11.5,1.0
Brooke Johnston,"Rp338,382,319","Rp17,376,941","Rp3,003,171","Rp31,150,956",3.51,2.15,0.2,0,0.0,0.0
Philip Byrd,"Rp72,784,216","Rp28,332,296","Rp25,992,154","Rp349,092,220",10.87,63.44,5.3,312700112,30.2,2.5
Jaime Chavez,"Rp310,860,757","Rp3,397,710","Rp3,397,710","Rp101,965,754",7.37,162.82,13.6,0,0.0,0.0
Alyssa Oconnor,"Rp214,591,500","Rp43,057,648","Rp36,924,917","Rp217,882,959",10.35,27.19,2.3,110587209,7.8,0.7
Roger Middleton,"Rp98,146,618","Rp7,317,048","Rp7,317,048","Rp248,733,569",12.72,94.34,7.9,199660260,47.2,3.9
Kathleen Matthews,"Rp439,431,826","Rp36,381,719","Rp20,458,292","Rp335,120,103",3.38,19.87,1.7,115404190,3.6,0.3
Katherine Lewis,"Rp70,995,760","Rp17,133,434","Rp17,133,434","Rp7,681,206",1.27,944.88,78.7,0,0.0,0.0
Nicholas Johnson,"Rp239,717,603","Rp7,785,956","Rp7,785,956","Rp196,192,809",11.91,100.76,8.4,76334008,50.4,4.2
Glenda Nelson,"Rp56,547,339","Rp24,882,940","Rp2,981,883","Rp357,558,735",9.54,14.45,1.2,329285066,6.7,0.6
Norma Watson,"Rp368,807,996","Rp41,580,196","Rp3,668,321","Rp220,719,099",10.79,5.53,0.5,36315101,0.5,0.0
Danielle Barnes,"Rp140,489,576","Rp47,793,211","Rp15,296,138","Rp91,743,361",12.73,2.74,0.2,21498573,0.3,0.0
Brenda Mcfarland,"Rp427,226,642","Rp20,687,991","Rp8,154,512","Rp318,110,977",12.24,20.16,1.7,104497656,3.8,0.3
Robin Duncan,"Rp402,073,291","Rp42,509,310","Rp28,665,895","Rp370,544,921",14.45,20.24,1.7,169508276,5.3,0.4
Janet Hill,"Rp460,564,360","Rp34,061,293","Rp22,536,721","Rp124,714,828",8.5,10.05,0.8,0,0.0,0.0
Gabriel Stevenson,"Rp307,699,782","Rp33,272,855","Rp27,192,630","Rp184,763,383",7.84,25.35,2.1,30913492,2.5,0.2
Barbara Ramirez,"Rp361,332,123","Rp20,336,140","Rp7,418,952","Rp199,521,198",6.63,14.23,1.2,18855137,0.7,0.1
Jon Reeves,"Rp332,388,685","Rp23,658,401","Rp6,264,423","Rp374,850,270",3.15,20.40,1.7,208655928,5.8,0.5
Ryan Hayes PhD,"Rp232,350,046","Rp49,316,696","Rp15,816,653","Rp138,163,302",9.02,4.00,0.3,21988279,0.3,0.0
Scott Andrews,"Rp334,730,239","Rp41,559,430","Rp10,181,883","Rp117,983,490",4.88,3.70,0.3,0,0.0,0.0
Daniel Mejia,"Rp471,798,963","Rp32,178,419","Rp17,309,784","Rp234,706,631",13.9,13.35,1.1,0,0.0,0.0
James Baldwin,"Rp325,413,330","Rp13,679,043","Rp13,679,043","Rp187,600,918",9.16,131.00,10.9,24894253,65.5,5.5
Michele Hutchinson,"Rp39,365,614","Rp25,470,291","Rp25,470,291","Rp237,907,725",9.3,129.03,10.8,218224918,64.5,5.4
Andrea Reynolds,"Rp367,703,823","Rp44,664,348","Rp37,074,035","Rp122,379,703",5.97,14.93,1.2,0,0.0,0.0
Alexander Kramer,"Rp325,446,132","Rp41,747,710","Rp29,134,365","Rp134,290,109",1.73,10.49,0.9,0,0.0,0.0
Abigail Bradley,"Rp403,866,308","Rp13,812,658","Rp13,812,658","Rp74,441,078",1.44,833.33,69.4,0,0.0,0.0
Christopher Thomas,"Rp195,588,834","Rp3,302,186","Rp3,302,186","Rp138,620,762",6.93,173.16,14.4,40826345,86.6,7.2
Casey Nguyen,"Rp449,980,427","Rp22,984,609","Rp22,984,609","Rp99,604,917",2.18,550.46,45.9,0,0.0,0.0
Thomas Jones,"Rp347,861,656","Rp42,043,896","Rp24,272,887","Rp312,071,708",9.5,15.42,1.3,138140880,3.7,0.3
Laura Ruiz,"Rp240,652,851","Rp10,456,985","Rp10,456,985","Rp362,588,198",13.33,90.02,7.5,242261773,45.0,3.8
Lucas Grant,"Rp214,090,234","Rp26,544,744","Rp22,000,738","Rp215,369,424",13.36,31.03,2.6,108324307,9.4,0.8
Sandra Harper,"Rp386,788,436","Rp20,803,769","Rp16,804,511","Rp71,469,096",10.23,15.51,1.3,0,0.0,0.0
Heidi Chase,"Rp20,198,499","Rp30,381,509","Rp20,994,397","Rp149,608,012",3.96,15.14,1.3,139508763,7.1,0.6
Regina Knight,"Rp315,778,228","Rp19,727,556","Rp10,568,438","Rp389,949,650",13.08,29.08,2.4,232060536,9.9,0.8
Roy Gonzalez,"Rp188,580,630","Rp23,521,013","Rp20,333,734","Rp181,615,186",13.41,34.81,2.9,87324871,10.5,0.9
Lisa Casey,"Rp144,415,503","Rp4,514,542","Rp4,514,542","Rp103,000,184",3.75,320.00,26.7,30792433,160.0,13.3
Beth Pratt,"Rp180,158,648","Rp40,735,088","Rp38,213,515","Rp46,280,792",11.32,15.65,1.3,0,0.0,0.0
Carrie Cross,"Rp497,326,758","Rp14,318,792","Rp11,625,105","Rp274,907,998",5.01,71.56,6.0,26244619,4.7,0.4
James Skinner,"Rp401,727,212","Rp28,242,722","Rp23,654,924","Rp63,665,296",12.24,12.16,1.0,0,0.0,0.0
Denise Sullivan,"Rp250,213,684","Rp18,135,763","Rp11,935,869","Rp18,245,462",14.96,2.84,0.2,0,0.0,0.0
Kara Hunter,"Rp436,267,833","Rp48,238,137","Rp33,845,012","Rp324,329,725",1.42,21.95,1.8,106195809,3.7,0.3
Austin Smith,"Rp257,212,966","Rp43,400,624","Rp43,400,624","Rp344,074,121",13.56,88.50,7.4,215467638,44.2,3.7
Rebecca Rodriguez,"Rp222,724,958","Rp11,676,924","Rp11,676,924","Rp373,786,441",9.72,123.46,10.3,262423962,61.7,5.1
Joseph Thomas,"Rp249,964,793","Rp46,951,994","Rp39,450,390","Rp311,798,051",14.63,27.59,2.3,186815655,9.6,0.8
Matthew Reese,"Rp295,746,308","Rp27,124,905","Rp27,124,905","Rp239,751,541",7.51,159.79,13.3,91878387,79.9,6.7
Charles Peterson,"Rp491,189,026","Rp38,383,985","Rp25,853,258","Rp313,274,739",12.86,19.72,1.6,67680226,2.6,0.2
Brad Keith,"Rp64,564,054","Rp32,254,481","Rp32,254,481","Rp56,929,747",1.87,641.71,53.5,24647720,320.9,26.7
Rebecca Lutz,"Rp207,206,748","Rp39,595,773","Rp15,689,493","Rp252,464,095",5.69,10.06,0.8,148860721,3.0,0.3
Dr. Laura Hodges,"Rp443,426,666","Rp32,253,634","Rp3,265,898","Rp117,865,137",1.94,4.04,0.3,0,0.0,0.0
Christopher Underwood,"Rp357,168,586","Rp17,315,679","Rp17,315,679","Rp383,698,929",14.65,81.91,6.8,205114636,41.0,3.4
Nathan Avila,"Rp412,232,046","Rp47,048,098","Rp37,674,971","Rp387,048,667",12.44,28.92,2.4,180932644,8.0,0.7
Russell Griffin,"Rp87,273,675","Rp27,440,805","Rp27,440,805","Rp316,534,579",12.94,92.74,7.7,272897742,46.4,3.9
Michael Malone,"Rp280,711,816","Rp24,765,239","Rp24,765,239","Rp233,466,740",14.13,84.93,7.1,93110832,42.5,3.5
Deanna Smith,"Rp59,437,769","Rp27,586,222","Rp27,586,222","Rp236,750,039",2.19,547.95,45.7,207031155,274.0,22.8
Donald Merritt,"Rp383,507,001","Rp18,527,000","Rp18,527,000","Rp176,670,350",6.4,187.50,15.6,0,0.0,0.0
Katherine Robinson,"Rp444,318,588","Rp21,453,059","Rp21,453,059","Rp230,489,941",1.99,603.02,50.3,8330647,301.5,25.1
Diane Waller,"Rp390,021,989","Rp11,423,309","Rp11,423,309","Rp276,823,901",3.95,303.80,25.3,81812907,151.9,12.7
Dawn Ryan,"Rp371,235,974","Rp6,229,028","Rp6,229,028","Rp91,629,054",4.21,285.04,23.8,0,0.0,0.0
Philip Nunez,"Rp229,436,205","Rp21,498,826","Rp21,498,826","Rp81,776,652",7.57,158.52,13.2,0,0.0,0.0
Pamela Williams,"Rp336,284,940","Rp13,569,320","Rp13,569,320","Rp184,493,946",4.76,252.10,21.0,16351476,126.1,10.5
Gina Curtis,"Rp429,087,527","Rp5,339,767","Rp5,339,767","Rp113,860,886",2.41,497.93,41.5,0,0.0,0.0
Ashley Miller,"Rp322,514,729","Rp34,500,922","Rp34,500,922","Rp96,952,593",3.34,359.28,29.9,0,0.0,0.0
Leonard Castro,"Rp102,992,904","Rp22,391,451","Rp13,018,754","Rp118,583,115",3.06,12.26,1.0,67086663,3.5,0.3
Brianna Alvarez,"Rp318,636,593","Rp37,045,468","Rp4,892,478","Rp149,414,622",14.62,4.40,0.4,0,0.0,0.0
Robert Lee,"Rp82,571,674","Rp13,851,224","Rp12,831,890","Rp152,206,093",11.63,61.02,5.1,110920256,26.5,2.2
Brittany Daniels,"Rp358,932,729","Rp39,264,673","Rp7,949,852","Rp35,031,137",14.55,1.10,0.1,0,0.0,0.0
